Year,Month,Day,DayOfWeek,Hour,TimeOfDay,Holidays,Season,WeekEnd,Parking,CheckIns,CheckOuts,Date,Previous,Latest
2021,1,1,5,0,0,1,0,0,1,1,0,01/01/2021 00:00:00,0,1
2021,1,1,5,1,0,1,0,0,1,0,0,01/01/2021 01:00:00,1,1
2021,1,1,5,2,0,1,0,0,1,0,0,01/01/2021 02:00:00,1,1
2021,1,1,5,3,1,1,0,0,1,0,0,01/01/2021 03:00:00,1,1
2021,1,1,5,4,1,1,0,0,1,0,0,01/01/2021 04:00:00,1,1
2021,1,1,5,5,1,1,0,0,1,0,0,01/01/2021 05:00:00,1,1
2021,1,1,5,6,1,1,0,0,1,0,0,01/01/2021 06:00:00,1,1
2021,1,1,5,7,2,1,0,0,1,0,0,01/01/2021 07:00:00,1,1
2021,1,1,5,8,2,1,0,0,1,0,0,01/01/2021 08:00:00,1,1
2021,1,1,5,9,2,1,0,0,1,1,1,01/01/2021 09:00:00,1,1
2021,1,1,5,10,2,1,0,0,1,0,0,01/01/2021 10:00:00,1,1
2021,1,1,5,11,3,1,0,0,1,1,1,01/01/2021 11:00:00,1,1
2021,1,1,5,12,3,1,0,0,3,2,0,01/01/2021 12:00:00,1,3
2021,1,1,5,13,3,1,0,0,5,2,1,01/01/2021 13:00:00,3,4
2021,1,1,5,14,3,1,0,0,4,1,1,01/01/2021 14:00:00,5,4
2021,1,1,5,15,4,1,0,0,4,3,3,01/01/2021 15:00:00,4,4
2021,1,1,5,16,4,1,0,0,5,2,2,01/01/2021 16:00:00,4,4
2021,1,1,5,17,4,1,0,0,11,7,0,01/01/2021 17:00:00,5,11
2021,1,1,5,18,4,1,0,0,13,6,6,01/01/2021 18:00:00,11,11
2021,1,1,5,19,5,1,0,0,15,8,4,01/01/2021 19:00:00,13,15
2021,1,1,5,20,5,1,0,0,16,3,8,01/01/2021 20:00:00,15,10
2021,1,1,5,21,5,1,0,0,10,2,8,01/01/2021 21:00:00,16,4
2021,1,1,5,22,5,1,0,0,4,0,0,01/01/2021 22:00:00,10,4
2021,1,1,5,23,0,1,0,0,4,0,0,01/01/2021 23:00:00,4,4
2021,1,2,6,0,0,1,0,1,4,0,0,02/01/2021 00:00:00,4,4
2021,1,2,6,1,0,1,0,1,4,0,0,02/01/2021 01:00:00,4,4
2021,1,2,6,2,0,1,0,1,4,0,0,02/01/2021 02:00:00,4,4
2021,1,2,6,3,1,1,0,1,4,0,0,02/01/2021 03:00:00,4,4
2021,1,2,6,4,1,1,0,1,4,0,0,02/01/2021 04:00:00,4,4
2021,1,2,6,5,1,1,0,1,4,0,0,02/01/2021 05:00:00,4,4
2021,1,2,6,6,1,1,0,1,4,0,0,02/01/2021 06:00:00,4,4
2021,1,2,6,7,2,1,0,1,4,0,0,02/01/2021 07:00:00,4,4
2021,1,2,6,8,2,1,0,1,4,0,0,02/01/2021 08:00:00,4,4
2021,1,2,6,9,2,1,0,1,5,2,1,02/01/2021 09:00:00,4,5
2021,1,2,6,10,2,1,0,1,6,2,1,02/01/2021 10:00:00,5,6
2021,1,2,6,11,3,1,0,1,14,9,1,02/01/2021 11:00:00,6,14
2021,1,2,6,12,3,1,0,1,27,15,3,02/01/2021 12:00:00,14,26
2021,1,2,6,13,3,1,0,1,34,11,5,02/01/2021 13:00:00,27,32
2021,1,2,6,14,3,1,0,1,33,4,10,02/01/2021 14:00:00,34,26
2021,1,2,6,15,4,1,0,1,26,5,10,02/01/2021 15:00:00,33,21
2021,1,2,6,16,4,1,0,1,21,3,8,02/01/2021 16:00:00,26,16
2021,1,2,6,17,4,1,0,1,24,12,5,02/01/2021 17:00:00,21,23
2021,1,2,6,18,4,1,0,1,25,4,9,02/01/2021 18:00:00,24,18
2021,1,2,6,19,5,1,0,1,18,1,8,02/01/2021 19:00:00,25,11
2021,1,2,6,20,5,1,0,1,11,0,5,02/01/2021 20:00:00,18,6
2021,1,2,6,21,5,1,0,1,6,0,1,02/01/2021 21:00:00,11,5
2021,1,2,6,22,5,1,0,1,5,0,2,02/01/2021 22:00:00,6,3
2021,1,2,6,23,0,1,0,1,3,0,0,02/01/2021 23:00:00,5,3
2021,1,3,0,0,0,1,0,1,3,0,0,03/01/2021 00:00:00,3,3
2021,1,3,0,1,0,1,0,1,3,0,0,03/01/2021 01:00:00,3,3
2021,1,3,0,2,0,1,0,1,3,0,0,03/01/2021 02:00:00,3,3
2021,1,3,0,3,1,1,0,1,3,0,0,03/01/2021 03:00:00,3,3
2021,1,3,0,4,1,1,0,1,3,0,0,03/01/2021 04:00:00,3,3
2021,1,3,0,5,1,1,0,1,3,0,0,03/01/2021 05:00:00,3,3
2021,1,3,0,6,1,1,0,1,3,0,0,03/01/2021 06:00:00,3,3
2021,1,3,0,7,2,1,0,1,4,1,0,03/01/2021 07:00:00,3,4
