Year,Month,Day,DayOfWeek,Hour,TimeOfDay,Holidays,Season,WeekEnd,Parking,CheckIns,CheckOuts,Date,Previous,Latest
2022,9,1,4,0,0,1,3,0,40,4,22,01/09/2022 00:00:00,53,23
2022,9,1,4,1,0,1,3,0,24,1,4,01/09/2022 01:00:00,40,20
2022,9,1,4,2,0,1,3,0,20,0,5,01/09/2022 02:00:00,24,15
2022,9,1,4,3,1,1,3,0,15,0,0,01/09/2022 03:00:00,20,15
2022,9,1,4,4,1,1,3,0,15,0,0,01/09/2022 04:00:00,15,15
2022,9,1,4,5,1,1,3,0,15,0,0,01/09/2022 05:00:00,15,15
2022,9,1,4,6,1,1,3,0,15,0,0,01/09/2022 06:00:00,15,15
2022,9,1,4,7,2,1,3,0,20,6,1,01/09/2022 07:00:00,15,20
2022,9,1,4,8,2,1,3,0,36,16,0,01/09/2022 08:00:00,20,36
2022,9,1,4,9,2,1,3,0,61,30,5,01/09/2022 09:00:00,36,61
2022,9,1,4,10,2,1,3,0,92,39,8,01/09/2022 10:00:00,61,92
2022,9,1,4,11,3,1,3,0,112,43,23,01/09/2022 11:00:00,92,112
2022,9,1,4,12,3,1,3,0,115,32,32,01/09/2022 12:00:00,112,112
2022,9,1,4,13,3,1,3,0,124,30,26,01/09/2022 13:00:00,115,116
2022,9,1,4,14,3,1,3,0,118,20,31,01/09/2022 14:00:00,124,105
2022,9,1,4,15,4,1,3,0,106,20,28,01/09/2022 15:00:00,118,97
2022,9,1,4,16,4,1,3,0,98,18,28,01/09/2022 16:00:00,106,87
2022,9,1,4,17,4,1,3,0,89,20,25,01/09/2022 17:00:00,98,82
2022,9,1,4,18,4,1,3,0,82,26,28,01/09/2022 18:00:00,89,80
2022,9,1,4,19,5,1,3,0,84,28,31,01/09/2022 19:00:00,82,77
2022,9,1,4,20,5,1,3,0,76,19,21,01/09/2022 20:00:00,84,75
2022,9,1,4,21,5,1,3,0,75,13,32,01/09/2022 21:00:00,76,56
2022,9,1,4,22,5,1,3,0,59,15,14,01/09/2022 22:00:00,75,57
2022,9,1,4,23,0,1,3,0,58,10,12,01/09/2022 23:00:00,59,55
2022,9,2,5,0,0,1,3,0,56,4,15,02/09/2022 00:00:00,58,44
2022,9,2,5,1,0,1,3,0,44,1,14,02/09/2022 01:00:00,56,31
2022,9,2,5,2,0,1,3,0,30,2,9,02/09/2022 02:00:00,44,24
2022,9,2,5,3,1,1,3,0,24,0,8,02/09/2022 03:00:00,30,16
2022,9,2,5,4,1,1,3,0,15,0,2,02/09/2022 04:00:00,24,14
2022,9,2,5,5,1,1,3,0,14,0,0,02/09/2022 05:00:00,15,14
2022,9,2,5,6,1,1,3,0,14,0,0,02/09/2022 06:00:00,14,14
2022,9,2,5,7,2,1,3,0,23,9,0,02/09/2022 07:00:00,14,23
2022,9,2,5,8,2,1,3,0,42,20,1,02/09/2022 08:00:00,23,42
2022,9,2,5,9,2,1,3,0,71,35,6,02/09/2022 09:00:00,42,71
2022,9,2,5,10,2,1,3,0,104,42,9,02/09/2022 10:00:00,71,104
2022,9,2,5,11,3,1,3,0,124,39,19,02/09/2022 11:00:00,104,124
2022,9,2,5,12,3,1,3,0,137,39,29,02/09/2022 12:00:00,124,134
2022,9,2,5,13,3,1,3,0,140,19,35,02/09/2022 13:00:00,137,118
2022,9,2,5,14,3,1,3,0,119,20,38,02/09/2022 14:00:00,140,100
2022,9,2,5,15,4,1,3,0,100,20,26,02/09/2022 15:00:00,119,94
2022,9,2,5,16,4,1,3,0,96,17,27,02/09/2022 16:00:00,100,84
2022,9,2,5,17,4,1,3,0,85,15,31,02/09/2022 17:00:00,96,68
2022,9,2,5,18,4,1,3,0,71,13,22,02/09/2022 18:00:00,85,59
2022,9,2,5,19,5,1,3,0,59,25,25,02/09/2022 19:00:00,71,59
2022,9,2,5,20,5,1,3,0,64,18,13,02/09/2022 20:00:00,59,64
2022,9,2,5,21,5,1,3,0,73,17,8,02/09/2022 21:00:00,64,73
2022,9,2,5,22,5,1,3,0,82,21,15,02/09/2022 22:00:00,73,79
2022,9,2,5,23,0,1,3,0,81,8,19,02/09/2022 23:00:00,82,68
2022,9,3,6,0,0,1,3,1,69,8,21,03/09/2022 00:00:00,81,55
2022,9,3,6,1,0,1,3,1,56,1,16,03/09/2022 01:00:00,69,40
2022,9,3,6,2,0,1,3,1,40,0,17,03/09/2022 02:00:00,56,23
2022,9,3,6,3,1,1,3,1,23,1,4,03/09/2022 03:00:00,40,20
2022,9,3,6,4,1,1,3,1,20,0,1,03/09/2022 04:00:00,23,19
2022,9,3,6,5,1,1,3,1,19,0,0,03/09/2022 05:00:00,20,19
2022,9,3,6,6,1,1,3,1,19,0,0,03/09/2022 06:00:00,19,19
2022,9,3,6,7,2,1,3,1,21,2,1,03/09/2022 07:00:00,19,20
2022,9,3,6,8,2,1,3,1,22,2,0,03/09/2022 08:00:00,21,22
2022,9,3,6,9,2,1,3,1,30,8,0,03/09/2022 09:00:00,22,30
2022,9,3,6,10,2,1,3,1,60,32,2,03/09/2022 10:00:00,30,60
2022,9,3,6,11,3,1,3,1,78,28,11,03/09/2022 11:00:00,60,77
2022,9,3,6,12,3,1,3,1,81,17,17,03/09/2022 12:00:00,78,77
2022,9,3,6,13,3,1,3,1,86,21,18,03/09/2022 13:00:00,81,80
2022,9,3,6,14,3,1,3,1,82,14,22,03/09/2022 14:00:00,86,72
2022,9,3,6,15,4,1,3,1,71,8,15,03/09/2022 15:00:00,82,65
2022,9,3,6,16,4,1,3,1,64,6,20,03/09/2022 16:00:00,71,51
2022,9,3,6,17,4,1,3,1,53,5,19,03/09/2022 17:00:00,64,37
2022,9,3,6,18,4,1,3,1,45,14,6,03/09/2022 18:00:00,53,45
2022,9,3,6,19,5,1,3,1,74,42,14,03/09/2022 19:00:00,45,73
2022,9,3,6,20,5,1,3,1,101,40,12,03/09/2022 20:00:00,74,101
2022,9,3,6,21,5,1,3,1,117,28,13,03/09/2022 21:00:00,101,116
2022,9,3,6,22,5,1,3,1,125,20,29,03/09/2022 22:00:00,117,107
2022,9,3,6,23,0,1,3,1,110,11,18,03/09/2022 23:00:00,125,100
2022,9,4,0,0,0,1,3,1,100,4,22,04/09/2022 00:00:00,110,82
2022,9,4,0,1,0,1,3,1,82,5,37,04/09/2022 01:00:00,100,50
2022,9,4,0,2,0,1,3,1,49,2,18,04/09/2022 02:00:00,82,34
2022,9,4,0,3,1,1,3,1,34,0,11,04/09/2022 03:00:00,49,23
2022,9,4,0,4,1,1,3,1,23,0,3,04/09/2022 04:00:00,34,20
2022,9,4,0,5,1,1,3,1,20,0,0,04/09/2022 05:00:00,23,20
2022,9,4,0,6,1,1,3,1,20,0,0,04/09/2022 06:00:00,20,20
2022,9,4,0,7,2,1,3,1,20,0,1,04/09/2022 07:00:00,20,19
2022,9,4,0,8,2,1,3,1,19,0,1,04/09/2022 08:00:00,20,18
2022,9,4,0,9,2,1,3,1,24,8,2,04/09/2022 09:00:00,19,24
2022,9,4,0,10,2,1,3,1,41,20,3,04/09/2022 10:00:00,24,41
2022,9,4,0,11,3,1,3,1,67,34,10,04/09/2022 11:00:00,41,65
2022,9,4,0,12,3,1,3,1,77,26,14,04/09/2022 12:00:00,67,77
2022,9,4,0,13,3,1,3,1,85,19,28,04/09/2022 13:00:00,77,68
2022,9,4,0,14,3,1,3,1,67,7,22,04/09/2022 14:00:00,85,53
2022,9,4,0,15,4,1,3,1,54,4,9,04/09/2022 15:00:00,67,48
2022,9,4,0,16,4,1,3,1,48,9,26,04/09/2022 16:00:00,54,31
2022,9,4,0,17,4,1,3,1,31,4,10,04/09/2022 17:00:00,48,25
2022,9,4,0,18,4,1,3,1,27,8,8,04/09/2022 18:00:00,31,25
2022,9,4,0,19,5,1,3,1,52,31,4,04/09/2022 19:00:00,27,52
2022,9,4,0,20,5,1,3,1,61,14,6,04/09/2022 20:00:00,52,60
2022,9,4,0,21,5,1,3,1,65,10,5,04/09/2022 21:00:00,61,65
2022,9,4,0,22,5,1,3,1,65,7,34,04/09/2022 22:00:00,65,38
2022,9,4,0,23,0,1,3,1,38,2,11,04/09/2022 23:00:00,65,29
2022,9,5,1,0,0,1,3,0,30,4,9,05/09/2022 00:00:00,38,24
2022,9,5,1,1,0,1,3,0,24,0,7,05/09/2022 01:00:00,30,17
2022,9,5,1,2,0,1,3,0,16,0,4,05/09/2022 02:00:00,24,13
