Year,Month,Day,DayOfWeek,Hour,TimeOfDay,Holidays,Season,WeekEnd,Parking,CheckIns,CheckOuts,Date,Previous,Latest
2022,8,1,1,0,0,1,2,0,36,0,22,01/08/2022 00:00:00,44,14
2022,8,1,1,1,0,1,2,0,14,0,5,01/08/2022 01:00:00,36,9
2022,8,1,1,2,0,1,2,0,9,0,2,01/08/2022 02:00:00,14,7
2022,8,1,1,3,1,1,2,0,7,0,0,01/08/2022 03:00:00,9,7
2022,8,1,1,4,1,1,2,0,8,1,1,01/08/2022 04:00:00,7,7
2022,8,1,1,5,1,1,2,0,7,0,0,01/08/2022 05:00:00,8,7
2022,8,1,1,6,1,1,2,0,7,0,0,01/08/2022 06:00:00,7,7
2022,8,1,1,7,2,1,2,0,12,5,0,01/08/2022 07:00:00,7,12
2022,8,1,1,8,2,1,2,0,25,13,0,01/08/2022 08:00:00,12,25
2022,8,1,1,9,2,1,2,0,54,32,3,01/08/2022 09:00:00,25,54
2022,8,1,1,10,2,1,2,0,68,24,11,01/08/2022 10:00:00,54,67
2022,8,1,1,11,3,1,2,0,77,18,8,01/08/2022 11:00:00,68,77
2022,8,1,1,12,3,1,2,0,82,16,16,01/08/2022 12:00:00,77,77
2022,8,1,1,13,3,1,2,0,79,12,20,01/08/2022 13:00:00,82,69
2022,8,1,1,14,3,1,2,0,77,17,10,01/08/2022 14:00:00,79,76
2022,8,1,1,15,4,1,2,0,79,10,13,01/08/2022 15:00:00,77,73
2022,8,1,1,16,4,1,2,0,73,12,14,01/08/2022 16:00:00,79,71
2022,8,1,1,17,4,1,2,0,73,11,19,01/08/2022 17:00:00,73,63
2022,8,1,1,18,4,1,2,0,61,9,19,01/08/2022 18:00:00,73,53
2022,8,1,1,19,5,1,2,0,54,8,25,01/08/2022 19:00:00,61,36
2022,8,1,1,20,5,1,2,0,41,14,16,01/08/2022 20:00:00,54,34
2022,8,1,1,21,5,1,2,0,34,6,8,01/08/2022 21:00:00,41,32
2022,8,1,1,22,5,1,2,0,38,8,8,01/08/2022 22:00:00,34,32
2022,8,1,1,23,0,1,2,0,35,3,8,01/08/2022 23:00:00,38,27
2022,8,2,2,0,0,1,2,0,28,1,10,02/08/2022 00:00:00,35,18
2022,8,2,2,1,0,1,2,0,18,0,6,02/08/2022 01:00:00,28,12
2022,8,2,2,2,0,1,2,0,12,0,2,02/08/2022 02:00:00,18,10
2022,8,2,2,3,1,1,2,0,10,0,0,02/08/2022 03:00:00,12,10
2022,8,2,2,4,1,1,2,0,10,0,0,02/08/2022 04:00:00,10,10
2022,8,2,2,5,1,1,2,0,10,0,0,02/08/2022 05:00:00,10,10
2022,8,2,2,6,1,1,2,0,10,0,0,02/08/2022 06:00:00,10,10
2022,8,2,2,7,2,1,2,0,11,2,1,02/08/2022 07:00:00,10,11
2022,8,2,2,8,2,1,2,0,26,17,2,02/08/2022 08:00:00,11,26
2022,8,2,2,9,2,1,2,0,52,32,6,02/08/2022 09:00:00,26,52
2022,8,2,2,10,2,1,2,0,77,34,9,02/08/2022 10:00:00,52,77
2022,8,2,2,11,3,1,2,0,82,20,16,02/08/2022 11:00:00,77,81
2022,8,2,2,12,3,1,2,0,88,18,21,02/08/2022 12:00:00,82,78
2022,8,2,2,13,3,1,2,0,80,15,14,02/08/2022 13:00:00,88,79
2022,8,2,2,14,3,1,2,0,82,15,12,02/08/2022 14:00:00,80,82
2022,8,2,2,15,4,1,2,0,82,13,20,02/08/2022 15:00:00,82,75
2022,8,2,2,16,4,1,2,0,76,14,20,02/08/2022 16:00:00,82,69
2022,8,2,2,17,4,1,2,0,69,12,18,02/08/2022 17:00:00,76,63
2022,8,2,2,18,4,1,2,0,63,15,21,02/08/2022 18:00:00,69,57
2022,8,2,2,19,5,1,2,0,57,7,19,02/08/2022 19:00:00,63,45
2022,8,2,2,20,5,1,2,0,52,18,16,02/08/2022 20:00:00,57,47
2022,8,2,2,21,5,1,2,0,49,13,12,02/08/2022 21:00:00,52,48
2022,8,2,2,22,5,1,2,0,47,5,19,02/08/2022 22:00:00,49,34
2022,8,2,2,23,0,1,2,0,34,0,5,02/08/2022 23:00:00,47,29
2022,8,3,3,0,0,1,2,0,29,0,13,03/08/2022 00:00:00,34,16
2022,8,3,3,1,0,1,2,0,16,0,3,03/08/2022 01:00:00,29,13
2022,8,3,3,2,0,1,2,0,13,0,2,03/08/2022 02:00:00,16,11
2022,8,3,3,3,1,1,2,0,11,0,1,03/08/2022 03:00:00,13,10
2022,8,3,3,4,1,1,2,0,10,0,0,03/08/2022 04:00:00,11,10
2022,8,3,3,5,1,1,2,0,10,0,0,03/08/2022 05:00:00,10,10
2022,8,3,3,6,1,1,2,0,11,1,1,03/08/2022 06:00:00,10,10
2022,8,3,3,7,2,1,2,0,13,3,0,03/08/2022 07:00:00,11,13
2022,8,3,3,8,2,1,2,0,28,17,2,03/08/2022 08:00:00,13,28
2022,8,3,3,9,2,1,2,0,55,27,0,03/08/2022 09:00:00,28,55
2022,8,3,3,10,2,1,2,0,76,29,9,03/08/2022 10:00:00,55,75
2022,8,3,3,11,3,1,2,0,82,18,13,03/08/2022 11:00:00,76,80
2022,8,3,3,12,3,1,2,0,94,31,17,03/08/2022 12:00:00,82,94
2022,8,3,3,13,3,1,2,0,101,23,25,03/08/2022 13:00:00,94,92
2022,8,3,3,14,3,1,2,0,94,17,19,03/08/2022 14:00:00,101,90
2022,8,3,3,15,4,1,2,0,92,13,28,03/08/2022 15:00:00,94,75
2022,8,3,3,16,4,1,2,0,75,12,16,03/08/2022 16:00:00,92,71
2022,8,3,3,17,4,1,2,0,69,14,26,03/08/2022 17:00:00,75,59
2022,8,3,3,18,4,1,2,0,60,15,21,03/08/2022 18:00:00,69,53
2022,8,3,3,19,5,1,2,0,53,11,17,03/08/2022 19:00:00,60,47
2022,8,3,3,20,5,1,2,0,50,16,16,03/08/2022 20:00:00,53,47
2022,8,3,3,21,5,1,2,0,47,7,9,03/08/2022 21:00:00,50,45
2022,8,3,3,22,5,1,2,0,51,12,15,03/08/2022 22:00:00,47,42
2022,8,3,3,23,0,1,2,0,42,0,3,03/08/2022 23:00:00,51,39
2022,8,4,4,0,0,1,2,0,39,0,16,04/08/2022 00:00:00,42,23
2022,8,4,4,1,0,1,2,0,24,1,10,04/08/2022 01:00:00,39,14
2022,8,4,4,2,0,1,2,0,13,0,3,04/08/2022 02:00:00,24,11
2022,8,4,4,3,1,1,2,0,11,0,0,04/08/2022 03:00:00,13,11
2022,8,4,4,4,1,1,2,0,11,0,0,04/08/2022 04:00:00,11,11
2022,8,4,4,5,1,1,2,0,12,1,0,04/08/2022 05:00:00,11,12
2022,8,4,4,6,1,1,2,0,12,0,0,04/08/2022 06:00:00,12,12
2022,8,4,4,7,2,1,2,0,13,2,1,04/08/2022 07:00:00,12,13
2022,8,4,4,8,2,1,2,0,28,15,0,04/08/2022 08:00:00,13,28
2022,8,4,4,9,2,1,2,0,47,25,6,04/08/2022 09:00:00,28,47
2022,8,4,4,10,2,1,2,0,67,27,7,04/08/2022 10:00:00,47,67
2022,8,4,4,11,3,1,2,0,77,23,14,04/08/2022 11:00:00,67,76
2022,8,4,4,12,3,1,2,0,91,26,13,04/08/2022 12:00:00,77,89
2022,8,4,4,13,3,1,2,0,87,10,22,04/08/2022 13:00:00,91,77
